sequence,From,To,address_id,total_transactions,transactions_initiated,transactions_received,average_transaction_value,total_transaction_value,average_outgoing_value,average_incoming_value,total_outgoing_value,total_incoming_value,last_outgoing_transaction_value,last_incoming_transaction_value,value1,value2,value3,value4,timestamps1,timestamps2,timestamps3,timestamps4,label
1136,1137,1536,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000430234,0.0,0.0,0.0,0,0,0,0,1
1137,1138,1576,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.131,0.0,0.0,0.0,0,0,0,0,1
1138,1139,1592,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000182368,0.0,0.0,0.0,0,0,0,0,1
1139,1140,1616,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.134,0.0,0.0,0.0,0,0,0,0,1
1140,1141,1626,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.006165485,-2.55e-05,0.0,0.0,0,3,0,0,1
1141,1142,1645,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.065,0.0,0.0,0.0,0,0,0,0,1
1142,1143,1678,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-2.55e-05,0.0,0.0,0.0,0,0,0,0,1
1143,1144,1684,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.004,0.005,-0.02663112,0.0,0,0,0,0,1
1144,1145,1685,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0,0.0,0.0,0.0,0,634,1617,1620,1
1145,1146,1685,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0,0.0,0.0,0.0,1620,1621,2059,2195,1
1146,1147,1685,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0,0.0,0.0,0.0,2505,2696,2696,2724,1
1147,1148,1685,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0,0.0,0.0,0.0,2870,2871,2871,2886,1
1148,1149,1685,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0,0.0,0.0,0.0,2913,0,0,0,1
1149,1150,1687,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.041387273,0.0,0.0,0.0,0,0,0,0,1
1150,1151,1688,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.011900071,0.0,0.0,0.0,0,0,0,0,1
1151,1152,1702,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.015578439,0.0,0.0,0.0,0,0,0,0,1
1152,1153,1724,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-5.97e-06,0.0,0.0,0.0,0,0,0,0,1
1153,1154,1730,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.16900667,0.0,0.0,0.0,0,0,0,0,1
1154,1155,1820,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.186905912,-8.35e-06,0.0,0.0,0,78,0,0,1
1155,1156,1845,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000170766,0.0,0.0,0.0,0,0,0,0,1
1156,1157,1890,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.002941612,0.0,0.0,0.0,0,0,0,0,1
1157,1158,1904,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.002635705,0.0,0.0,0.0,0,0,0,0,1
1158,1159,1907,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.48,0.07,0.14,0.113,0,92,114,211,1
1159,1160,1907,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.064,0.144,0.235,0.257,262,334,338,383,1
1160,1161,1907,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.026,0.086,0.0,0.0,460,577,0,0,1
1161,1162,1912,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.075869656,0.0,0.0,0.0,0,0,0,0,1
1162,1163,1927,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000121356,0.0,0.0,0.0,0,0,0,0,1
1163,1164,1938,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-1.47e-06,-5.13e-05,0.0,0.0,0,40,0,0,1
1164,1165,1955,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000285775,0.0,0.0,0.0,0,0,0,0,1
1165,1166,1964,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.002637306,0.0,0.0,0.0,0,0,0,0,1
1166,1167,1965,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.05854398,0.19,0.077,0.0,0,69,196,0,1
1167,1168,1969,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000321689,0.0,0.0,0.0,0,0,0,0,1
1168,1169,2035,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.1382462,0.0,0.0,0.0,0,0,0,0,1
1169,1170,2080,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-3.73e-06,0.0,0.0,0.0,0,0,0,0,1
1170,1171,2090,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.001,0.0,0.0,0.0,0,0,0,0,1
1171,1172,2120,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000236261,0.0,0.0,0.0,0,0,0,0,1
1172,1173,2142,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-2.14e-06,0.0,0.0,0.0,0,0,0,0,1
1173,1174,2155,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.001226433,0.0,0.0,0.0,0,0,0,0,1
1174,1175,2181,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.001590407,0.0,0.0,0.0,0,0,0,0,1
1175,1176,2253,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000129727,0.0,0.0,0.0,0,0,0,0,1
1176,1177,2274,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-1.43e-05,-1.58e-06,0.0,0.0,0,2,0,0,1
1177,1178,2289,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.058,0.0,0.0,0.0,0,0,0,0,1
1178,1179,2318,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.02,0.0,0.0,0.0,0,0,0,0,1
1179,1180,2368,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.256,0.0,0.0,0.0,0,0,0,0,1
1180,1181,2399,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-9.62e-06,0.0,0.0,0.0,0,0,0,0,1
1181,1182,2417,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.0035,0.0,0.0,0.0,0,0,0,0,1
1182,1183,2424,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000176478,0.0,0.0,0.0,0,0,0,0,1
1183,1184,2443,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000162148,0.0,0.0,0.0,0,0,0,0,1
1184,1185,2445,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.03990068,0.0,0.0,0.0,0,0,0,0,1
1185,1186,2457,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-1.66e-05,0.0,0.0,0.0,0,0,0,0,1
1186,1187,2469,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.019187792,0.0,0.0,0.0,0,0,0,0,1
1187,1188,2485,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-1.63e-05,0.0,0.0,0.0,0,0,0,0,1
1188,1189,2498,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.003635366,0.0,0.0,0.0,0,0,0,0,1
1189,1190,2514,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000556829,-0.017141688,0.0,0.0,0,0,0,0,1
1190,1191,2523,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.00051015,0.0,0.0,0.0,0,0,0,0,1
1191,1192,2553,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000120505,0.0,0.0,0.0,0,0,0,0,1
1192,1193,2564,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0,0.0,0.0,0.0,0,29,0,0,1
1193,1194,2587,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.01922,0.0,0.0,0.0,0,0,0,0,1
1194,1195,2610,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.01,-0.00957501,0.0,0.0,0,0,0,0,1
1195,1196,2643,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.002261292,0.0,0.0,0.0,0,0,0,0,1
1196,1197,2689,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000125896,0.0,0.0,0.0,0,0,0,0,1
1197,1198,2774,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.002156585,-2.52e-05,0.0,0.0,0,1,0,0,1
1198,1199,2833,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.002715816,0.0,0.0,0.0,0,0,0,0,1
1199,1200,2842,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.29941053,0.0,0.0,0.0,0,0,0,0,1
1200,1201,2860,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.003521122,-0.003139521,0.0,0.0,0,288,0,0,1
1201,1202,2890,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.044,0.0,0.0,0.0,0,0,0,0,1
1202,1203,2913,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-2.91e-06,0.0,0.0,0.0,0,0,0,0,1
1203,1204,2932,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-4.39e-06,0.0,0.0,0.0,0,0,0,0,1
1204,1205,2945,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000164866,0.0,0.0,0.0,0,0,0,0,1
1205,1206,2968,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-4.87e-05,0.0,0.0,0.0,0,0,0,0,1
1206,1207,2972,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-1.41e-06,0.0,0.0,0.0,0,0,0,0,1
1207,1208,2990,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-3.41e-05,0.0,0.0,0.0,0,0,0,0,1
1208,1209,2996,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000329522,0.0,0.0,0.0,0,0,0,0,1
1209,1210,3063,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-5e-06,0.0,0.0,0.0,0,0,0,0,1
1210,1211,3093,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0,0.0,0.0,0.0,0,0,0,0,1
1211,1212,3099,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.07,0.0,0.0,0.0,0,0,0,0,1
1212,1213,3115,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-1.01e-06,0.0,0.0,0.0,0,0,0,0,1
1213,1214,3133,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.1215,0.0,0.0,0.0,0,0,0,0,1
1214,1215,3135,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0189,0.0,0.0,0.0,0,0,0,0,1
1215,1216,3137,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.022628178,0.0,0.0,0.0,0,0,0,0,1
1216,1217,3146,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.00020386,0.0,0.0,0.0,0,0,0,0,1
1217,1218,3170,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.01,-0.009454789,0.0,0.0,0,0,0,0,1
1218,1219,3180,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-7.53e-06,0.0,0.0,0.0,0,0,0,0,1
1219,1220,3181,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.04,0.0,0.0,0.0,0,0,0,0,1
1220,1221,3197,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.00660202,0.0,0.0,0.0,0,0,0,0,1
1221,1222,3201,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-5.31e-06,0.0,0.0,0.0,0,0,0,0,1
1222,1223,3207,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.11,0.0,0.0,0.0,0,0,0,0,1
1223,1224,3217,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000184601,0.0,0.0,0.0,0,0,0,0,1
1224,1225,3223,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0,0.27,0.0,0.0,0,91,107,278,1
1225,1226,3223,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0,0.0,0.0,0.04,468,468,468,741,1
1226,1227,3223,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0,0.006,0.0,0.0,1344,2166,2803,2832,1
1227,1228,3223,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0,0.0,0.0,0.0,2832,0,0,0,1
1228,1229,3227,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.009262224,0.0,0.0,0.0,0,0,0,0,1
1229,1230,3299,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.046963,0.0394,-0.134672,0.0,0,2,115,0,1
1230,1231,3320,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-8.32e-06,0.0,0.0,0.0,0,0,0,0,1
1231,1232,3322,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.005637844,0.0,0.0,0.0,0,0,0,0,1
1232,1233,3325,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.0176,0.0,0.0,0.0,0,0,0,0,1
1233,1234,3328,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.010240313,-0.000504962,0.0,0.0,0,1,0,0,1
1234,1235,3343,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-1.05e-05,0.0,0.0,0.0,0,0,0,0,1
1235,1236,3404,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.003,0.004,0.002,0.0,0,5,6,0,1
1236,1237,3415,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-3.45e-05,0.0,0.0,0.0,0,0,0,0,1
1237,1238,3432,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000284599,0.0,0.0,0.0,0,0,0,0,1
1238,1239,3501,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.097875,0.0,0.0,0.0,0,0,0,0,1
1239,1240,3515,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-9.35e-06,0.0,0.0,0.0,0,0,0,0,1
1240,1241,3532,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-1.41e-05,0.0,0.0,0.0,0,0,0,0,1
1241,1242,3549,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.1456,0.0,0.0,0.0,0,0,0,0,1
1242,1243,3575,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.27,0.0,0.0,0.0,0,0,0,0,1
1243,1244,3625,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-6.79e-06,0.0,0.0,0.0,0,0,0,0,1
1244,1245,3637,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.003,0.0,0.0,0.0,0,0,0,0,1
1245,1246,3642,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000342655,0.0,0.0,0.0,0,0,0,0,1
1246,1247,3652,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.388828752,-0.078278254,0.0,0.0,0,41,0,0,1
1247,1248,3670,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-1.3e-05,0.0,0.0,0.0,0,0,0,0,1
1248,1249,3695,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000600841,0.0,0.0,0.0,0,0,0,0,1
1249,1250,3713,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-5.44e-05,0.0,0.0,0.0,0,0,0,0,1
1250,1251,3754,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000699802,0.0,0.0,0.0,0,0,0,0,1
1251,1252,3767,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-8.07e-07,0.0,0.0,0.0,0,0,0,0,1
1252,1253,3800,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.006243175,-1.91e-05,0.0,0.0,0,2,0,0,1
1253,1254,3842,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,0.003,-0.002214848,0.0,0.0,0,0,0,0,1
1254,1255,3861,539,326,129,197,0.047416273,15.45770492,0.059547868,0.039472233,7.68167494,7.776029976,0.002190324,0.002261292,-0.000373229,0.0,0.0,0.0,0,0,0,0,1
1255,1256,539,540,3,3,0,0.029946053,0.089838158,0.029946053,0.0,0.089838158,0.0,0.001469071,0.0,0.005019192,0.083349895,0.001469071,0.0,0,309,333,0,0
1256,1257,44,541,1,1,0,0.6,0.6,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0,0,0,0,0
1257,1258,1914,542,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,143,0
1258,1259,1914,542,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479,547,557,566,0
1259,1260,1914,542,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2663,0,0,0,0
1260,1261,1685,543,36,35,1,0.009920748,0.357146929,0.001632769,0.3,0.057146929,0.3,0.057146929,0.3,0.0,0.0,0.0,0.0,0,26,76,116,1
1261,1262,1685,543,36,35,1,0.009920748,0.357146929,0.001632769,0.3,0.057146929,0.3,0.057146929,0.3,0.0,0.0,0.0,0.0,121,121,121,121,1
1262,1263,1685,543,36,35,1,0.009920748,0.357146929,0.001632769,0.3,0.057146929,0.3,0.057146929,0.3,0.0,0.0,0.0,0.0,170,242,249,249,1
1263,1264,1685,543,36,35,1,0.009920748,0.357146929,0.001632769,0.3,0.057146929,0.3,0.057146929,0.3,0.0,0.0,0.0,0.0,277,277,277,277,1
1264,1265,1685,543,36,35,1,0.009920748,0.357146929,0.001632769,0.3,0.057146929,0.3,0.057146929,0.3,0.0,0.0,0.0,0.0,363,487,487,495,1
1265,1266,1685,543,36,35,1,0.009920748,0.357146929,0.001632769,0.3,0.057146929,0.3,0.057146929,0.3,0.0,0.0,0.0,0.0,584,605,624,793,1
1266,1267,1685,543,36,35,1,0.009920748,0.357146929,0.001632769,0.3,0.057146929,0.3,0.057146929,0.3,0.0,0.0,0.0,0.0,841,863,864,1020,1
1267,1268,1685,543,36,35,1,0.009920748,0.357146929,0.001632769,0.3,0.057146929,0.3,0.057146929,0.3,0.0,0.0,0.0,0.0,1128,1247,1392,1471,1
1268,1269,1685,543,36,35,1,0.009920748,0.357146929,0.001632769,0.3,0.057146929,0.3,0.057146929,0.3,0.0,0.0,0.0,0.0,1744,1931,0,0,1
1269,1270,2497,543,36,35,1,0.009920748,0.357146929,0.001632769,0.3,0.057146929,0.3,0.057146929,0.3,-0.3,0.0,0.0,0.0,0,0,0,0,1
1270,1271,2676,543,36,35,1,0.009920748,0.357146929,0.001632769,0.3,0.057146929,0.3,0.057146929,0.3,0.057146929,0.0,0.0,0.0,0,0,0,0,1
1271,1272,539,544,1,1,0,8.07e-06,8.07e-06,8.07e-06,0.0,8.07e-06,0.0,8.07e-06,0.0,8.07e-06,0.0,0.0,0.0,0,0,0,0,0
1272,1273,2126,545,1,1,0,0.12,0.12,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0,0,0,0,0
1273,1274,1305,546,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1274,1275,3896,547,1,0,1,1.01,1.01,0.0,1.01,0.0,1.01,0.0,1.01,-1.01,0.0,0.0,0.0,0,0,0,0,0
1275,1276,67,548,3,0,3,0.490030542,1.470091625,0.0,0.490030542,0.0,1.470091625,0.0,1.38861031,-0.074054875,-0.007426441,-1.38861031,0.0,0,0,294,0,0
1276,1277,2693,549,1,1,0,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0,0,0,0,0
1277,1278,2371,550,1,1,0,1.5,1.5,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0,0,0,0,0
1278,1279,2762,551,3,3,0,0.033333333,0.1,0.033333333,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0,0,1963,0,0
1279,1280,2762,552,2,2,0,0.05,0.1,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0,4848,0,0,0
1280,1281,1844,553,1,1,0,0.076963566,0.076963566,0.076963566,0.0,0.076963566,0.0,0.076963566,0.0,0.076963566,0.0,0.0,0.0,0,0,0,0,0
1281,1282,2297,554,1,1,0,0.025885267,0.025885267,0.025885267,0.0,0.025885267,0.0,0.025885267,0.0,0.025885267,0.0,0.0,0.0,0,0,0,0,0
1282,1283,2126,555,2,2,0,0.057561513,0.115123026,0.057561513,0.0,0.115123026,0.0,0.09,0.0,0.025123026,0.09,0.0,0.0,0,0,0,0,0
1283,1284,1305,556,1,0,1,0.14391,0.14391,0.0,0.14391,0.0,0.14391,0.0,0.14391,-0.14391,0.0,0.0,0.0,0,0,0,0,0
1284,1285,1305,557,1,0,1,0.94454844,0.94454844,0.0,0.94454844,0.0,0.94454844,0.0,0.94454844,-0.94454844,0.0,0.0,0.0,0,0,0,0,0
1285,1286,2345,558,1,1,0,0.003740705,0.003740705,0.003740705,0.0,0.003740705,0.0,0.003740705,0.0,0.003740705,0.0,0.0,0.0,0,0,0,0,0
1286,1287,1717,559,1,1,0,0.367887366,0.367887366,0.367887366,0.0,0.367887366,0.0,0.367887366,0.0,0.367887366,0.0,0.0,0.0,0,0,0,0,0
